California:2005:Charina trivirgata
California:2005:Chlidonias niger
California:2005:Choeronycteris mexicana
California:2005:Coenonympha tullia yontockett
California:2005:Colaptes chrysoides
California:2005:Cottus klamathensis macrops
California:2005:Cottus klamathensis polyporus
California:2005:Cyprinodon nevadensis amargosae
California:2005:Cypseloides niger
California:2005:Dendroica occidentalis
California:2005:Desmocerus californicus dimorphus
California:2005:Diadophis punctatus modestus
California:2005:Dipodomys californicus eximius
California:2005:Dipodomys heermanni berkeleyensis
California:2005:Dipodomys heermanni morroensis
California:2005:Dipodomys merriami collinus
California:2005:Dipodomys panamintinus argusensis
California:2005:Dipodomys panamintinus panamintinus
California:2005:Dubiraphia giulianii
California:2005:Dufourea stagei
California:2005:Elanus leucurus
California:2005:Elaphrus viridis
California:2005:Emys (=Clemmys) marmorata
California:2005:Eremarionta rowelli mccoiana
California:2005:Gasterosteus aculeatus microcephalus
California:2005:Gila bicolor ssp. 1
California:2005:Glaucomys sabrinus californicus
California:2005:Gonidea angulata
California:2005:Gopherus agassizii
California:2005:Haliaeetus leucocephalus
California:2005:Haliotis cracherodii
California:2005:Haplotrema duranti
California:2005:Hedychridium milleri
California:2005:Helisoma newberryi
California:2005:Helminthoglypta allynsmithi
California:2005:Helminthoglypta arrosa monticola
California:2005:Helminthoglypta arrosa pomoensis
California:2005:Helminthoglypta concolor
California:2005:Helminthoglypta taylori
California:2005:Hubbardia secoensis
California:2005:Hydromantes platycephalus
California:2005:Hydromantes sp. 1
California:2005:Hydroporus hirsutus
California:2005:Hydroporus leechi
California:2005:Hysterocarpus traski traski
California:2005:Icaricia icarioides missionensis
California:2005:Icaricia icarioides parapheres
California:2005:Idionycteris phyllotis
California:2005:Idiostatus middlekauffi
California:2005:Incisalia mossii bayensis
California:2005:Juga acutifilosa
California:2005:Larca laceyi
California:2005:Larus californicus
California:2005:Lasiurus xanthinus
California:2005:Lepus townsendii
California:2005:Lytta hoppingi
California:2005:Macrobaenetes kelsoensis
California:2005:Margaritifera falcata
California:2005:Meta dolloff
California:2005:Micrarionta opuntia
California:2005:Mitoura thornei
California:2005:Monadenia marmarotis
California:2005:Monadenia mormonum hirsuta
California:2005:Monadenia setosa
California:2005:Monadenia tuolumneana
California:2005:Myotis ciliolabrum
California:2005:Myotis lucifugus
California:2005:Myotis occultus
California:2005:Myotis volans
California:2005:Nebria sahlbergii triad
California:2005:Necydalis rudei
California:2005:Neothremma genella
California:2005:Neotoma fuscipes annectens
California:2005:Numenius americanus
California:2005:Nyctinomops femorasaccus
California:2005:Ochotona princeps sheltoni
California:2005:Ochthebius recticulus
California:2005:Oliarces clara
California:2005:Oncorhynchus gorbuscha
California:2005:Oncorhynchus kisutch
California:2005:Oncorhynchus mykiss
California:2005:Oncorhynchus mykiss
California:2005:Oncorhynchus tshawytscha
California:2005:Oravelia pege
California:2005:Parabuteo unicinctus
California:2005:Passerculus sandwichensis rostratus
California:2005:Pelecanus occidentalis californicus
