Alaska:2005:Tamiasciurus hudsonicus picatus
Alaska:2005:Taricha granulosa
Alaska:2005:Thaleichthys pacificus
Alaska:2005:Tringa flavipes
Alaska:2005:Tringa nebularia
Alaska:2005:Tringa solitaria cinnamonea
Alaska:2005:Troglodytes troglodytes meligerus
Alaska:2005:Troglodytes troglodytes stevensoni
Alaska:2005:Tryngites subruficollis
Alaska:2005:Tyrannus tyrannus
Alaska:2005:Uria lomvia
Alaska:2005:Ursus arctos kenai
Alaska:2005:Ursus maritimus
Alaska:2005:Valvata lewisi
Alaska:2005:Valvata mergella
Alaska:2005:Vermivora peregrina
Alaska:2005:Vertigo sp. nov
Alaska:2005:Vireo olivaceus
Alaska:2005:Ziphius cavirostris
Alaska:2005:[no scientific name]
Alaska:2005:[no scientific name]
Alaska:2005:[no scientific name]
Alaska:2005:lxoreus naevius
American Samoa:2015:Acropora globiceps
American Samoa:2015:Acropora retusa
American Samoa:2015:Actinopyga mauritiania
American Samoa:2015:Aplonis atrifusca
American Samoa:2015:Aplonis tabuensis tutuilae
American Samoa:2015:Balaenoptera acutorostrata
American Samoa:2015:Balaenoptera bonaerensis
American Samoa:2015:Birgus latro
American Samoa:2015:Candoia bibroni
American Samoa:2015:Diastole matafaoi
American Samoa:2015:Diastole schmeltziana
American Samoa:2015:Ducula pacifica
American Samoa:2015:Emballonura semicaudata semicaudata
American Samoa:2015:Emoia lawesi
American Samoa:2015:Eretmochelys imbricata
American Samoa:2015:Eua zebrina
American Samoa:2015:Euphyllia paradivisa
American Samoa:2015:Gymnomyza samoensis
American Samoa:2015:Holothuria fuscogilva
American Samoa:2015:Ostodes strigatus
American Samoa:2015:Papilio godeffroyi
American Samoa:2015:Physeter macrocephalus
American Samoa:2015:Pilinopus perousii
American Samoa:2015:Porphyrio porphyrio
American Samoa:2015:Pristipomoides filamentosus
American Samoa:2015:Pseudobulweria rostrata
American Samoa:2015:Pteropus samoensis
American Samoa:2015:Samoana thurstoni
American Samoa:2015:Stenella coeruleoalba
American Samoa:2015:Stenella longirostris longirostris
American Samoa:2015:Tridacna maxima
American Samoa:2015:Tridacna squamosa
American Samoa:2015:Zapornia tabuensis
American Samoa:2015:Ziphius cavirostris
Connecticut:2015:Actaea racemosa
Connecticut:2015:Alosa mediocris
Connecticut:2015:Anax longipes
Connecticut:2015:Anchoa mitchilli
Connecticut:2015:Anguilla rostrata
Connecticut:2015:Atylotus sphagnicolus
Connecticut:2015:Baetisca lacustris
Connecticut:2015:Bembidion pseudocautum
Connecticut:2015:Bombus affinis
Connecticut:2015:Bombus ashtoni
Connecticut:2015:Bombus pennsylvanicus
Connecticut:2015:Botaurus lentiginosus
Connecticut:2015:Brevoortia tyrannus
Connecticut:2015:Callinectes sapidus
Connecticut:2015:Callophrys henrici
Connecticut:2015:Calopteryx dimidiata
Connecticut:2015:Carabus vinctus
Connecticut:2015:Cardamine longii
Connecticut:2015:Catharus fuscescens
Connecticut:2015:Catocala badia badia
Connecticut:2015:Celastrina neglectamajor
Connecticut:2015:Celithemis fasciata
Connecticut:2015:Chamaecyparis thyoides
Connecticut:2015:Chelonia mydas
Connecticut:2015:Chlosyne harrisii
Connecticut:2015:Chordeiles minor
Connecticut:2015:Chytonix sensilis
Connecticut:2015:Cicindela dorsalis dorsalis
Connecticut:2015:Cicindela formosa generosa
Connecticut:2015:Cicindela lepida
Connecticut:2015:Cicindela marginata
Connecticut:2015:Cicindela puritana
Connecticut:2015:Cicindela purpurea
Connecticut:2015:Cicindela tranquebarica
Connecticut:2015:Cinygmula subaequalis
Connecticut:2015:Citheronia regalis
Connecticut:2015:Clemmys guttata
Connecticut:2015:Clupea harengus
Connecticut:2015:Coccinella novemnotata
Connecticut:2015:Coccyzus americanus
Connecticut:2015:Coccyzus erythropthalmus
Connecticut:2015:Colaptes auratus
Connecticut:2015:Contopus virens
Connecticut:2015:Crangon septemspinosa
Connecticut:2015:Crangonyx aberrans
Connecticut:2015:Cyprinodon variegatus
Connecticut:2015:Cypripedium arietinum
Connecticut:2015:Cypripedium reginae
Connecticut:2015:Danaus plexippus
Connecticut:2015:Dargida rubripennis
Connecticut:2015:Dermochelys coriacea
Connecticut:2015:Derrima stellata
Connecticut:2015:Digrammia equivocata
Connecticut:2015:Doellingeria umbellata
Connecticut:2015:Drasteria graphica atlantica
Connecticut:2015:Eleocharis aestuum
Connecticut:2015:Enallagma daeckii
Connecticut:2015:Enallagma pictum
Connecticut:2015:Enallagma recurvatum
Connecticut:2015:Epeoloides pilosula
Connecticut:2015:Erimyzon oblongus
Connecticut:2015:Eriocaulon parkeri
Connecticut:2015:Erynnis martialis
Connecticut:2015:Esox americanus
Connecticut:2015:Esox niger
Connecticut:2015:Eucosma morrisoni
Connecticut:2015:Eulimnadia agassizii
Connecticut:2015:Eumacaria matopata
Connecticut:2015:Euphyes bimacula
Connecticut:2015:Euxoa pleuritica
Connecticut:2015:Euxoa violaris
Connecticut:2015:Exyra fax
Connecticut:2015:Fundulus heteroclitus
Connecticut:2015:Galearis spectabilis
Connecticut:2015:Gallinula chloropus
Connecticut:2015:Glaucomys sabrinus
Connecticut:2015:Glaucopsyche lygdamus
Connecticut:2015:Glycobius speciosus
Connecticut:2015:Glyptemys insculpta
Connecticut:2015:Glyptemys muhlenbergii
Connecticut:2015:Gomphaeschna antilope
Connecticut:2015:Gomphus adelphus
Connecticut:2015:Gomphus ventricosus
Connecticut:2015:Goniops chrysocoma
Connecticut:2015:Grammia phyllira
Connecticut:2015:Grammia speciosa
Connecticut:2015:Haematopota rara
Connecticut:2015:Haematopus palliatus
Connecticut:2015:Harpalus caliginosus
Connecticut:2015:Helluomorphoides praeustus bicolor
Connecticut:2015:Hemaris gracilis
Connecticut:2015:Hemileuca lucina
Connecticut:2015:Hemileuca maia maia
Connecticut:2015:Hemitripterus americanus
Connecticut:2015:Heterodon platirhinos
Connecticut:2015:Hippolyte spp.
Connecticut:2015:Humulus lupulus var. americanus
Connecticut:2015:Hybomitra frosti
Connecticut:2015:Hybomitra longiglossa
Connecticut:2015:Hybomitra trepida
Connecticut:2015:Hydrastis canadensis
Connecticut:2015:Hyparpax aurora
Connecticut:2015:Icteria virens
Connecticut:2015:Icterus galbula
Connecticut:2015:Ionactis linariifolia
Connecticut:2015:Isotria medeoloides
Connecticut:2015:Ixobrychus exilis
Connecticut:2015:Juniperus virginiana
Connecticut:2015:Ladona deplanata
Connecticut:2015:Laphria cinerea
Connecticut:2015:Lasionycteris noctivagans
Connecticut:2015:Lasiurus borealis
Connecticut:2015:Lasiurus cinereus
Connecticut:2015:Lechea maritima
Connecticut:2015:Lepidochelys kempii
Connecticut:2015:Lepomis auritus
Connecticut:2015:Leptophlebia bradleyi
Connecticut:2015:Lethe eurydice
Connecticut:2015:Liatris novae-angliae
Connecticut:2015:Limulus polyphemus
Connecticut:2015:Lithobates sylvaticus
Connecticut:2015:Lordithon niger
Connecticut:2015:Loxandrus vulneratus
Connecticut:2015:Lupinus perennis perennis
Connecticut:2015:Lupinus perennis
Connecticut:2015:Lycaena epixanthe
Connecticut:2015:Lycaena hyllus
Connecticut:2015:Macropis ciliata
Connecticut:2015:Magicicada septendecula
Connecticut:2015:Malaxis bayardii
Connecticut:2015:Melanitta americana
Connecticut:2015:Melanitta fusca
Connecticut:2015:Melitara prodenialis
Connecticut:2015:Menidia menidia
Connecticut:2015:Merluccius bilinearis
Connecticut:2015:Meropleon ambifusca
