Connecticut:2015:Dermochelys coriacea
Connecticut:2015:Derrima stellata
Connecticut:2015:Digrammia equivocata
Connecticut:2015:Dipalta banksi
Connecticut:2015:Doellingeria umbellata
Connecticut:2015:Drasteria graphica atlantica
Connecticut:2015:Drasteria occulta
Connecticut:2015:Eacles imperialis imperialis
Connecticut:2015:Egretta caerulea
Connecticut:2015:Egretta thula
Connecticut:2015:Eleocharis aestuum
Connecticut:2015:Eleocharis diandra
Connecticut:2015:Elimia virginica
Connecticut:2015:Empidonax alnorum
Connecticut:2015:Empidonax minimus
Connecticut:2015:Empidonax traillii
Connecticut:2015:Enallagma daeckii
Connecticut:2015:Enallagma doubledayi
Connecticut:2015:Enallagma pictum
Connecticut:2015:Enallagma recurvatum
Connecticut:2015:Enneacanthus obesus
Connecticut:2015:Ensis directus
Connecticut:2015:Epeoloides pilosula
Connecticut:2015:Eptesicus fuscus
Connecticut:2015:Eremophila alpestris
Connecticut:2015:Erimyzon oblongus
Connecticut:2015:Eriocaulon parkeri
Connecticut:2015:Erynnis brizo
Connecticut:2015:Erynnis horatius
Connecticut:2015:Erynnis lucilius
Connecticut:2015:Erynnis persius persius
Connecticut:2015:Esox niger
Connecticut:2015:Etheostoma fusiforme
Connecticut:2015:Euchlaena madusaria
Connecticut:2015:Eucoptocnemis fimbriaris
Connecticut:2015:Eucosma morrisoni
Connecticut:2015:Eulimnadia agassizii
Connecticut:2015:Eumacaria matopata
Connecticut:2015:Euphyes bimacula
Connecticut:2015:Euphyes dion
Connecticut:2015:Euxoa pleuritica
Connecticut:2015:Euxoa violaris
Connecticut:2015:Exyra fax
Connecticut:2015:Falco peregrinus
Connecticut:2015:Falco sparverius
Connecticut:2015:Galba rustica
Connecticut:2015:Galearis spectabilis
Connecticut:2015:Gallinula chloropus
Connecticut:2015:Gasterosteus aculeatus
Connecticut:2015:Gavia immer
Connecticut:2015:Geopinus incrassatus
Connecticut:2015:Gilvossius setimanus
Connecticut:2015:Glaucopsyche lygdamus
Connecticut:2015:Glycobius speciosus
Connecticut:2015:Glyptemys insculpta
Connecticut:2015:Glyptemys muhlenbergii
Connecticut:2015:Gomphus adelphus
Connecticut:2015:Gomphus descriptus
Connecticut:2015:Gomphus quadricolor
Connecticut:2015:Gomphus vastus
Connecticut:2015:Gomphus ventricosus
Connecticut:2015:Goniops chrysocoma
Connecticut:2015:Grammia phyllira
Connecticut:2015:Grammia speciosa
Connecticut:2015:Gyraulus circumstriatus
Connecticut:2015:Gyrinophilus porphyriticus
Connecticut:2015:Haematopota rara
Connecticut:2015:Haematopus palliatus
Connecticut:2015:Haliaeetus leucocephalus
Connecticut:2015:Harpalus caliginosus
Connecticut:2015:Helianthemum dumosum
Connecticut:2015:Helluomorphoides praeustus bicolor
Connecticut:2015:Hemileuca maia maia
Connecticut:2015:Hemitripterus americanus
Connecticut:2015:Hetaerina americana
Connecticut:2015:Hippocampus erectus
Connecticut:2015:Hippolyte spp.
Connecticut:2015:Hudsonia tomentosa
Connecticut:2015:Humulus lupulus var. americanus
Connecticut:2015:Hybomitra frosti
Connecticut:2015:Hybomitra longiglossa
Connecticut:2015:Hybomitra lurida
Connecticut:2015:Hybomitra trepida
Connecticut:2015:Hybomitra typhus
Connecticut:2015:Hydrastis canadensis
Connecticut:2015:Hyla versicolor
Connecticut:2015:Hylocichla mustelina
Connecticut:2015:Hyparpax aurora
Connecticut:2015:Hypericum adpressum
Connecticut:2015:Icteria virens
Connecticut:2015:Icterus galbula
Connecticut:2015:Ionactis linariifolia
Connecticut:2015:Ixobrychus exilis
Connecticut:2015:Juniperus virginiana
Connecticut:2015:Kalmia polifolia
Connecticut:2015:Ladona deplanata
Connecticut:2015:Lampsilis cariosa
Connecticut:2015:Lapara coniferarum
Connecticut:2015:Lasionycteris noctivagans
Connecticut:2015:Lasiurus borealis
Connecticut:2015:Lasiurus cinereus
Connecticut:2015:Lechea maritima
Connecticut:2015:Lepidochelys kempii
Connecticut:2015:Lepomis gibbosus
Connecticut:2015:Leptophlebia bradleyi
Connecticut:2015:Lethe eurydice
Connecticut:2015:Lethenteron appendix
Connecticut:2015:Leucania extincta
Connecticut:2015:Leucoraja ocellata
Connecticut:2015:Leucorrhinia glacialis
Connecticut:2015:Liatris novae-angliae
Connecticut:2015:Libinia emarginata
Connecticut:2015:Ligumia nasuta
Connecticut:2015:Limulus polyphemus
Connecticut:2015:Liparis atlanticus
Connecticut:2015:Lithobates pipiens
Connecticut:2015:Lithobates sylvaticus
Connecticut:2015:Lithophane lemmeri
Connecticut:2015:Lithophane viridipallens
Connecticut:2015:Lomamyia flavicornis
Connecticut:2015:Lordithon niger
Connecticut:2015:Lota lota
Connecticut:2015:Loxandrus vulneratus
Connecticut:2015:Lupinus perennis perennis
Connecticut:2015:Lupinus perennis
Connecticut:2015:Luxilus cornutus
Connecticut:2015:Lycaena epixanthe
Connecticut:2015:Lycaena hyllus
Connecticut:2015:Macropis ciliata
Connecticut:2015:Magicicada septendecula
Connecticut:2015:Malaclemys terrapin terrapin
Connecticut:2015:Melanerpes erythrocephalus
Connecticut:2015:Melanitta americana
Connecticut:2015:Melanitta fusca
Connecticut:2015:Melanitta perspicillata
Connecticut:2015:Menidia menidia
Connecticut:2015:Merluccius bilinearis
Connecticut:2015:Meropleon ambifusca
Connecticut:2015:Merycomyia whitneyi
Connecticut:2015:Metarranthis apiciaria
Connecticut:2015:Microgadus tomcod
Connecticut:2015:Micropterus dolomieu
Connecticut:2015:Micropterus salmoides
Connecticut:2015:Microtus pinetorum
Connecticut:2015:Mixogaster johnsoni
Connecticut:2015:Mniotilta varia
Connecticut:2015:Morella caroliniensis
Connecticut:2015:Morone saxatilis
Connecticut:2015:Mustela erminea
Connecticut:2015:Mustela frenata
Connecticut:2015:Mustela vison
Connecticut:2015:Mustelis canis
Connecticut:2015:Mya arenaria
Connecticut:2015:Myodes gapperi
Connecticut:2015:Myotis leibii
Connecticut:2015:Myotis lucifugus
Connecticut:2015:Myotis septentrionalis
Connecticut:2015:Myotis sodalis
Connecticut:2015:Mytilus edulis
Connecticut:2015:Napaeozapus insignis
Connecticut:2015:Nicocles politus
Connecticut:2015:Nicrophorus americanus
Connecticut:2015:Notemigonus crysoleucas
Connecticut:2015:Notropis bifrenatus
Connecticut:2015:Nuttallanthus canadensis
Connecticut:2015:Nyctanassa violacea
Connecticut:2015:Ondatra zibethicus
Connecticut:2015:Opheodrys vernalis
Connecticut:2015:Opsanus tau
Connecticut:2015:Opuntia humifusa
Connecticut:2015:Osmerus mordax
Connecticut:2015:Ovalipes ocellatus
Connecticut:2015:Packera obovata
Connecticut:2015:Pagurus pollicaris
Connecticut:2015:Palaemonetes spp.
Connecticut:2015:Panax quinquefolius
Connecticut:2015:Pandion haliaetus
Connecticut:2015:Papaipema appassionata
Connecticut:2015:Papaipema circumlucens
Connecticut:2015:Papaipema duovata
Connecticut:2015:Papaipema leucostigma
Connecticut:2015:Papaipema marginidens
Connecticut:2015:Papaipema maritima
Connecticut:2015:Paraleptophlebia assimilis
Connecticut:2015:Paralichthys oblongus
Connecticut:2015:Parasa indetermina
Connecticut:2015:Parkesia motacilla
Connecticut:2015:Parkesia noveboracensis
Connecticut:2015:Passerculus sandwichensis princeps
Connecticut:2015:Passerculus sandwichensis
Connecticut:2015:Peprilus triacanthus
Connecticut:2015:Perca flavescens
Connecticut:2015:Perimyotis subflavus
Connecticut:2015:Peromyscus maniculatus
Connecticut:2015:Petrochelidon pyrrhonota
Connecticut:2015:Petromyzon marinus
Connecticut:2015:Phaneta clavana
Connecticut:2015:Pheucticus ludovicianus
Connecticut:2015:Phoca vitulina
Connecticut:2015:Phocoena phocoena phocoena
Connecticut:2015:Photedes inops
Connecticut:2015:Phyllonorycter ledella
Connecticut:2015:Pinus resinosa
Connecticut:2015:Pinus rigida
Connecticut:2015:Piranga olivacea
Connecticut:2015:Pityopsis falcata
Connecticut:2015:Plegadis falcinellus
Connecticut:2015:Plestiodon fasciatus
Connecticut:2015:Podilymbus podiceps
Connecticut:2015:Polygonum glaucum
