American Samoa:2005:Aplonis tabuensis manuae/tutuilae
Kansas:2005:Ammodramus bairdii
Kansas:2005:Ammodramus henslowii
Kansas:2005:Ammodramus savannarum
Kansas:2005:Anas acuta
Kansas:2005:Anguilla rostrata
Kansas:2005:Anodonta suborbiculata
Kansas:2005:Anodontoides ferussacianus
Kansas:2005:Antrozous pallidus
Kansas:2005:Aquila chrysaetos
Kansas:2005:Arcidens confragosus
Kansas:2005:Ardea alba
Kansas:2005:Asio flammeus
Kansas:2005:Athene cunicularia
Kansas:2005:Bartramia longicauda
Kansas:2005:Bufo debilis
Kansas:2005:Bufo punctatus
Kansas:2005:Buteo regalis
Kansas:2005:Caecidotea metcalfi
Kansas:2005:Caecidotea steevesi
Kansas:2005:Calcarius mccownii
Kansas:2005:Calcarius ornatus
Kansas:2005:Calcarius pictus
Kansas:2005:Calidris bairdii
Kansas:2005:Calidris fuscicollis
Kansas:2005:Calidris himantopus
Kansas:2005:Calidris melanotos
Kansas:2005:Calidris pusilla
Kansas:2005:Callipepla squamata
Kansas:2005:Caprimulgus carolinensis
Kansas:2005:Caprimulgus vociferus
Kansas:2005:Carpiodes cyprinus
Kansas:2005:Charadrius alexandrinus
Kansas:2005:Charadrius melodius
Kansas:2005:Charadrius montanus
Kansas:2005:Chordeiles minor
Kansas:2005:Colinus virginianus
Kansas:2005:Contopus virens
Kansas:2005:Cottus carolinae
Kansas:2005:Cratogeomys castanops
Kansas:2005:Crotalus horridus
Kansas:2005:Crotalus viridis
Kansas:2005:Cumberlandia monodonta
Kansas:2005:Cycleptus elongatus
Kansas:2005:Cyprogenia aberti
Kansas:2005:Danaus plexippus
Kansas:2005:Dendroica cerulea
Kansas:2005:Dendroica dominica
Kansas:2005:Dolichonyx orzivorus
Kansas:2005:Dryocopus pileatus
Kansas:2005:Epioblasma triquetra
Kansas:2005:Erimystax x-punctatus
Kansas:2005:Erynnis martialis
Kansas:2005:Etheostoma chlorosoma
Kansas:2005:Etheostoma cragini
Kansas:2005:Etheostoma flabellare
Kansas:2005:Etheostoma gracile
Kansas:2005:Etheostoma microperca
Kansas:2005:Etheostoma nigrum
Kansas:2005:Etheostoma punctulatum
Kansas:2005:Etheostoma whipplei
Kansas:2005:Eumeces anthracinus
Kansas:2005:Eumeces laticeps
Kansas:2005:Euphagus cyanocephalus
Kansas:2005:Euphyes bimacula illinois
Kansas:2005:Eurycea longicauda
Kansas:2005:Eurycea lucifuga
Kansas:2005:Eurycea tyenrehsis
Kansas:2005:Fundulus kansae
Kansas:2005:Fusconaia flava
Kansas:2005:Glaucomys volans
Kansas:2005:Graptemys geographica
Kansas:2005:Grus americana
Kansas:2005:Gryllotalpa major
Kansas:2005:Helopicus nalatus
Kansas:2005:Hesperia ottoe
